ts,longitude,latitude
2000-01-12 03:50:29+01:00,-6.963071972575869,38.92411716279805
2000-01-12 03:50:39+01:00,-6.962910688579431,38.9240711667476
2000-01-12 03:50:49+01:00,-6.962736412089934,38.92405577809556
2000-01-12 03:50:59+01:00,-6.9625897493752245,38.92409620003147
2000-01-12 03:51:09+01:00,-6.9624079452477785,38.92412557130057
2000-01-12 03:51:19+01:00,-6.961774142417996,38.92334859607272
2000-01-12 03:51:29+01:00,-6.961545265695215,38.92337833222577
2000-01-12 03:51:39+01:00,-6.9613877078270106,38.92345977398842
2000-01-12 03:51:49+01:00,-6.961248715987065,38.92350579069282
2000-01-12 03:51:59+01:00,-6.961229852870198,38.92350372793533
2000-01-12 03:52:09+01:00,-6.961264410519077,38.92351639573082
2000-01-12 03:52:19+01:00,-6.961303380997596,38.92354572812856
2000-01-12 03:52:29+01:00,-6.961297405199409,38.92356471695779
2000-01-12 03:52:39+01:00,-6.961313590515871,38.92359968657045
2000-01-12 03:52:49+01:00,-6.9614268525007255,38.923691732755
2000-01-12 03:52:59+01:00,-6.9614977335196295,38.92373828591261
2000-01-12 03:53:09+01:00,-6.961514414598304,38.92375946867329
2000-01-12 03:53:19+01:00,-6.961676327344256,38.92379216425651
2000-01-12 03:53:29+01:00,-6.961690556734872,38.92380920712649
2000-01-12 03:56:09+01:00,-6.961176226463525,38.92318552069479
2000-01-12 03:56:19+01:00,-6.961089930851374,38.92315195689781
2000-01-12 03:57:09+01:00,-6.961121960006727,38.92320036770054
2000-01-12 03:57:19+01:00,-6.961129916843352,38.923239496585175
2000-01-12 03:57:29+01:00,-6.961170416880683,38.923229074239536
2000-01-12 03:57:49+01:00,-6.961185427097711,38.92322824542483
2000-01-12 03:58:19+01:00,-6.961125818642183,38.92316519763072
2000-01-12 03:58:49+01:00,-6.961175379554645,38.92319065764112
2000-01-12 03:59:09+01:00,-6.961039041519476,38.92329580268497
2000-01-12 03:59:19+01:00,-6.961090741423743,38.92334414280997
2000-01-12 03:59:29+01:00,-6.96112443082509,38.92336241840696
2000-01-12 03:59:39+01:00,-6.961253678774722,38.92333061552558
2000-01-12 03:59:49+01:00,-6.961291984406016,38.92329614071083
2000-01-12 03:59:59+01:00,-6.96128810814895,38.92329835436351
2000-01-12 04:00:09+01:00,-6.9612469166880855,38.92328151786619
2000-01-12 04:00:19+01:00,-6.9611969583222,38.92328583546777
2000-01-12 04:00:29+01:00,-6.961012825930143,38.92338710912571
2000-01-12 04:00:39+01:00,-6.961009268827151,38.92351986273436
2000-01-12 04:00:49+01:00,-6.961098833733593,38.92344204120029
2000-01-12 04:00:59+01:00,-6.961131649326273,38.923412152606645
2000-01-12 04:01:09+01:00,-6.961252205768984,38.92341655705733
2000-01-12 04:01:19+01:00,-6.961251496369649,38.92340551679742
2000-01-12 04:01:29+01:00,-6.961256347946972,38.923349750565926
2000-01-12 04:01:39+01:00,-6.9613825968457785,38.92331102086743
2000-01-12 04:01:49+01:00,-6.961322666923482,38.92335018570164
2000-01-12 04:02:19+01:00,-6.961208299526769,38.92336908258647
2000-01-12 04:02:39+01:00,-6.961189423020164,38.92343692080917
2000-01-12 04:02:59+01:00,-6.96159749548577,38.9234005608553
2000-01-12 04:03:09+01:00,-6.961624078565503,38.92340683371078
2000-01-12 04:03:19+01:00,-6.961658360486105,38.92338711225812
2000-01-12 04:03:59+01:00,-6.961570508683041,38.92334971938753
2000-01-12 04:04:09+01:00,-6.961535595340709,38.92333436729076
2000-01-12 04:04:29+01:00,-6.9612032973223705,38.92334273793583
2000-01-12 04:04:39+01:00,-6.961221820836081,38.92331609045246
2000-01-12 04:04:49+01:00,-6.961295110809196,38.92334488495278
2000-01-12 04:04:59+01:00,-6.961221028391709,38.92334845315403
2000-01-12 04:05:29+01:00,-6.961229650267672,38.923301226341565
2000-01-12 04:05:39+01:00,-6.961254799701975,38.923288220590855
2000-01-12 04:05:49+01:00,-6.961299410717807,38.92328342526375
2000-01-12 04:06:49+01:00,-6.961227698805104,38.92342551259152
2000-01-12 04:06:59+01:00,-6.9612349960890745,38.92335078938342
2000-01-12 04:07:09+01:00,-6.9612220271981045,38.92334434773133
2000-01-12 04:07:19+01:00,-6.961151209751046,38.92338312035088
2000-01-12 04:10:49+01:00,-6.9612609121335325,38.92353308807713
2000-01-12 04:10:59+01:00,-6.961283333417962,38.92352178230379
2000-01-12 04:11:09+01:00,-6.961310599690551,38.92351250083343
2000-01-12 04:11:19+01:00,-6.961310262330146,38.9235068101572
2000-01-12 04:11:29+01:00,-6.961183921712953,38.9233766213135
2000-01-12 04:11:39+01:00,-6.961162959575469,38.92336320626338
2000-01-12 04:12:09+01:00,-6.961163993613655,38.92351573462346
2000-01-12 04:12:19+01:00,-6.960927568081282,38.92368505410509
2000-01-12 04:12:29+01:00,-6.960771601279661,38.92377213141378
2000-01-12 04:12:39+01:00,-6.960636803616668,38.92384853221845
2000-01-12 04:12:49+01:00,-6.960530945486967,38.92399070069808
2000-01-12 04:12:59+01:00,-6.96042857329158,38.92402200058293
2000-01-12 04:13:09+01:00,-6.960338928770358,38.92412023027279
2000-01-12 04:13:19+01:00,-6.960227838891703,38.92423355746197
2000-01-12 04:13:29+01:00,-6.960224276105376,38.924409068260566
2000-01-12 04:13:39+01:00,-6.960175863605504,38.924561824975456
2000-01-12 04:13:49+01:00,-6.960067727116506,38.92460272663443
2000-01-12 04:13:59+01:00,-6.9600049552982695,38.92473647634783
2000-01-12 04:14:09+01:00,-6.959869072715271,38.92474671867872
