ts,x,y,longitude,latitude,motion_score,diary_label
2000-01-12 03:50:29+01:00,2854459.922556972,1923846.755938243,-6.963071972575869,38.92411716279805,4.521713585086033,trip
2000-01-12 03:50:39+01:00,2854472.586072476,1923838.653532964,-6.962910688579431,38.9240711667476,4.312266366293929,trip
2000-01-12 03:50:49+01:00,2854487.029776188,1923833.619270105,-6.962736412089934,38.92405577809556,4.175980368526038,trip
2000-01-12 03:50:59+01:00,2854500.367103919,1923835.1703134845,-6.9625897493752245,38.92409620003147,4.022004752940637,trip
2000-01-12 03:51:09+01:00,2854516.440840483,1923834.844448356,-6.9624079452477785,38.92412557130057,3.7917646280721207,trip
2000-01-12 03:51:19+01:00,2854552.999927511,1923738.3511349144,-6.961774142417996,38.92334859607272,3.725611039243769,stop
2000-01-12 03:51:29+01:00,2854573.0753404507,1923737.155994964,-6.961545265695215,38.92337833222577,4.800746075605855,stop
2000-01-12 03:51:39+01:00,2854588.245581548,1923742.9449743496,-6.9613877078270106,38.92345977398842,4.673893124627642,stop
2000-01-12 03:51:49+01:00,2854601.056154654,1923745.2510450836,-6.961248715987065,38.92350579069282,4.493401173865592,stop
2000-01-12 03:51:59+01:00,2854602.6107239644,1923744.663118423,-6.961229852870198,38.92350372793533,4.388815406380667,stop
2000-01-12 03:52:09+01:00,2854599.95958715,1923746.704101532,-6.961264410519077,38.92351639573082,4.137007342021338,stop
2000-01-12 03:52:19+01:00,2854597.30317738,1923750.637385927,-6.961303380997596,38.92354572812856,4.0011702397658935,stop
2000-01-12 03:52:29+01:00,2854598.230699987,1923752.5811190065,-6.961297405199409,38.92356471695779,3.708094351010782,stop
2000-01-12 03:52:39+01:00,2854597.632127359,1923756.685717344,-6.961313590515871,38.92359968657045,3.511578300820852,stop
2000-01-12 03:52:49+01:00,2854590.0622096686,1923768.8541748424,-6.9614268525007255,38.923691732755,3.116555794694832,stop
2000-01-12 03:52:59+01:00,2854585.080105677,1923775.27105617,-6.9614977335196295,38.92373828591261,2.8342182526313624,stop
2000-01-12 03:53:09+01:00,2854584.134134145,1923777.8902009304,-6.961514414598304,38.92375946867329,2.74308293413598,stop
2000-01-12 03:53:19+01:00,2854571.1224749247,1923784.5622324431,-6.961676327344256,38.92379216425651,2.787817339722616,stop
2000-01-12 03:53:29+01:00,2854570.292805765,1923786.6851124773,-6.961690556734872,38.92380920712649,1.8349110684804208,stop
2000-01-12 03:56:09+01:00,2854600.112531017,1923709.121600315,-6.961176226463525,38.92318552069479,1.7845940316060878,stop
2000-01-12 03:56:19+01:00,2854606.69011017,1923703.815632856,-6.961089930851374,38.92315195689781,1.949036523207726,stop
2000-01-12 03:57:09+01:00,2854605.04508448,1923709.683716477,-6.961121960006727,38.92320036770054,2.268740086967803,stop
2000-01-12 03:57:19+01:00,2854605.236677534,1923714.0804495448,-6.961129916843352,38.923239496585175,2.627245375089564,stop
2000-01-12 03:57:29+01:00,2854601.570004392,1923713.732310806,-6.961170416880683,38.923229074239536,2.7368231952229194,stop
2000-01-12 03:57:49+01:00,2854600.2782484777,1923713.9322799395,-6.961185427097711,38.92322824542483,2.32009415847688,stop
2000-01-12 03:58:19+01:00,2854603.93879846,1923705.944426663,-6.961125818642183,38.92316519763072,2.2159434013861947,stop
2000-01-12 03:58:49+01:00,2854600.29815095,1923709.6622907412,-6.961175379554645,38.92319065764112,2.194347256999025,stop
2000-01-12 03:59:09+01:00,2854614.1931798435,1923718.431437876,-6.961039041519476,38.92329580268497,2.0815632288826964,stop
2000-01-12 03:59:19+01:00,2854610.8778174114,1923724.6716917031,-6.961090741423743,38.92334414280997,1.5080849493296564,stop
2000-01-12 03:59:29+01:00,2854608.4245275296,1923727.3040084068,-6.96112443082509,38.92336241840696,1.399292403184237,stop
2000-01-12 03:59:39+01:00,2854596.7553661503,1923726.351097519,-6.961253678774722,38.92333061552558,1.3274989867790368,stop
2000-01-12 03:59:49+01:00,2854592.742147361,1923723.352370412,-6.961291984406016,38.92329614071083,1.17665335442478,stop
2000-01-12 03:59:59+01:00,2854593.12001904,1923723.517565824,-6.96128810814895,38.92329835436351,1.1862679945442038,stop
2000-01-12 04:00:09+01:00,2854596.2416200573,1923720.8964333015,-6.9612469166880855,38.92328151786619,1.121305066465417,stop
2000-01-12 04:00:19+01:00,2854600.5754852383,1923720.3999391133,-6.9611969583222,38.92328583546777,2.941751332778564,stop
2000-01-12 04:00:29+01:00,2854618.439411108,1923727.826385894,-6.961012825930143,38.92338710912571,3.709642588566169,stop
2000-01-12 04:00:39+01:00,2854621.681357968,1923742.1533441776,-6.961009268827151,38.92351986273436,4.00076655722723,stop
2000-01-12 04:00:49+01:00,2854612.359530824,1923735.4439353195,-6.961098833733593,38.92344204120029,4.40197485277565,stop
2000-01-12 04:00:59+01:00,2854608.913645349,1923732.836512111,-6.961131649326273,38.923412152606645,4.37782281027761,stop
2000-01-12 04:01:09+01:00,2854598.783756053,1923735.6420469796,-6.961252205768984,38.92341655705733,4.402640353533744,stop
2000-01-12 04:01:19+01:00,2854598.5994191226,1923734.431156452,-6.961251496369649,38.92340551679742,4.381491238742474,stop
2000-01-12 04:01:29+01:00,2854596.9527273867,1923728.4776189225,-6.961256347946972,38.923349750565926,4.389777028817823,stop
2000-01-12 04:01:39+01:00,2854585.384573254,1923726.715681584,-6.9613825968457785,38.92331102086743,4.220093257024828,stop
2000-01-12 04:01:49+01:00,2854591.336172751,1923729.8054193824,-6.961322666923482,38.92335018570164,4.275229034938798,stop
